date,rate
1993-05-04,3.107900
1993-05-06,3.124600
1993-05-07,3.132900
1993-05-10,3.133500
1993-05-11,3.130900
1993-05-12,3.135500
1993-05-13,3.129100
1993-05-14,3.131000
1993-05-17,3.128900
1993-05-18,3.127000
1993-05-19,3.116900
1993-05-20,3.113200
1993-05-21,3.110900
1993-05-24,3.109700
1993-05-25,3.117200
1993-05-26,3.124200
1993-05-27,3.129400
1993-05-28,3.122700
1993-05-31,3.122400
1993-06-01,3.119000
1993-06-02,3.126400
1993-06-03,3.121900
1993-06-04,3.125000
1993-06-07,3.125100
1993-06-08,3.125600
1993-06-09,3.132100
1993-06-10,3.126900
1993-06-11,3.128200
1993-06-14,3.121000
1993-06-15,3.122200
1993-06-16,3.116600
1993-06-17,3.119900
1993-06-18,3.117100
1993-06-21,3.116900
1993-06-22,3.113900
1993-06-23,3.116600
1993-06-24,3.115700
1993-06-25,3.116000
1993-06-28,3.119500
1993-06-29,3.121200
1993-06-30,3.118600
1993-07-01,3.118000
1993-07-02,3.129200
1993-07-05,3.122400
1993-07-06,3.122400
1993-07-07,3.122400
1993-07-08,3.123600
1993-07-09,3.126100
1993-07-12,3.124600
1993-07-13,3.129400
1993-07-14,3.128400
1993-07-15,3.123500
1993-07-16,3.124200
1993-07-19,3.124400
1993-07-20,3.125500
1993-07-21,3.124100
1993-07-22,3.123000
1993-07-23,3.122900
1993-07-26,3.125100
1993-07-27,3.121000
1993-07-28,3.120900
1993-07-29,3.118900
1993-07-30,3.120400
1993-08-02,3.117900
1993-08-03,3.116200
1993-08-04,3.110700
1993-08-05,3.109700
1993-08-06,3.114900
1993-08-09,3.113700
1993-08-10,3.110000
1993-08-11,3.111000
1993-08-12,3.110000
1993-08-13,3.116500
1993-08-16,3.107900
1993-08-17,3.111000
1993-08-18,3.110400
1993-08-19,3.111900
1993-08-20,3.113100
1993-08-23,3.112400
1993-08-24,3.111200
1993-08-25,3.110900
1993-08-26,3.110400
1993-08-27,3.111700
1993-08-30,3.114500
1993-08-31,3.114200
1993-09-01,3.114200
1993-09-02,3.113700
1993-09-03,3.113900
1993-09-06,3.113900
1993-09-07,3.111700
1993-09-08,3.113000
1993-09-09,3.112400
1993-09-10,3.112700
1993-09-13,3.111900
1993-09-14,3.111900
1993-09-15,3.110900
1993-09-17,3.110800
1993-09-20,3.109300
1993-09-21,3.107300
1993-09-22,3.110000
1993-09-23,3.116300
1993-09-24,3.112400
1993-09-27,3.111400
1993-09-28,3.119900
1993-09-29,3.117800
1993-09-30,3.117800
1993-10-01,3.117900
1993-10-04,3.116300
1993-10-05,3.113100
1993-10-06,3.114800
1993-10-07,3.114200
1993-10-08,3.115600
1993-10-11,3.115800
1993-10-13,3.113600
1993-10-14,3.112900
1993-10-15,3.113500
1993-10-18,3.114000
1993-10-19,3.112300
1993-10-20,3.112500
1993-10-21,3.111500
1993-10-22,3.112000
1993-10-25,3.112500
1993-10-26,3.113500
1993-10-27,3.113500
1993-10-28,3.117600
1993-10-29,3.129300
1993-11-03,3.125900
1993-11-04,3.148100
1993-11-05,3.147600
1993-11-08,3.152000
1993-11-09,3.152000
1993-11-10,3.245000
1993-11-11,3.240000
1993-11-12,3.216300
1993-11-15,3.232500
1993-11-16,3.212500
1993-11-17,3.185000
1993-11-18,3.160800
1993-11-19,3.111400
1993-11-22,3.114800
1993-11-23,3.101000
1993-11-24,3.100300
1993-11-25,3.102100
1993-11-26,3.116800
1993-11-29,3.112500
1993-11-30,3.106500
1993-12-01,3.104200
1993-12-02,3.103400
1993-12-03,3.103700
1993-12-06,3.103600
1993-12-07,3.105200
1993-12-08,3.104700
1993-12-09,3.104700
1993-12-10,3.107500
1993-12-13,3.116900
1993-12-14,3.113000
1993-12-15,3.111800
1993-12-16,3.106500
1993-12-17,3.105300
1993-12-20,3.105500
1993-12-21,3.111400
1993-12-22,3.111100
1993-12-23,3.115500
1993-12-24,3.111000
1993-12-27,3.105900
1993-12-28,3.105600
1993-12-29,3.105900
1994-01-03,3.107100
1994-01-04,3.107500
1994-01-05,3.112900
1994-01-06,3.106000
1994-01-07,3.105700
1994-01-10,3.105700
1994-01-11,3.115000
1994-01-12,3.109800
1994-01-13,3.109400
1994-01-14,3.106100
1994-01-17,3.108800
1994-01-18,3.106100
1994-01-19,3.105800
1994-01-20,3.105600
1994-01-21,3.106000
1994-01-24,3.105500
1994-01-25,3.105600
1994-01-26,3.105800
1994-01-27,3.106400
1994-01-28,3.106300
1994-01-31,3.105900
1994-02-01,3.105400
1994-02-02,3.105000
1994-02-03,3.105300
1994-02-04,3.105600
1994-02-07,3.105600
1994-02-08,3.105600
1994-02-09,3.105800
1994-02-10,3.105500
1994-02-11,3.105000
1994-02-14,3.105000
1994-02-15,3.105500
1994-02-16,3.105000
1994-02-17,3.105500
1994-02-18,3.105300
1994-02-21,3.105700
1994-02-22,3.106100
1994-02-23,3.111000
1994-02-24,3.117900
1994-02-25,3.207500
1994-02-28,3.211300
1994-03-01,3.193300
1994-03-02,3.194400
1994-03-03,3.266300
1994-03-04,3.251300
1994-03-07,3.235500
1994-03-08,3.252000
1994-03-09,3.256500
1994-03-10,3.315000
1994-03-11,3.288800
1994-03-14,3.302500
1994-03-15,3.284900
1994-03-16,3.310600
1994-03-17,3.303300
1994-03-18,3.304300
1994-03-22,3.324800
1994-03-23,3.332600
1994-03-25,3.335300
1994-03-28,3.358600
1994-03-29,3.359800
1994-03-30,3.350000
1994-04-04,3.360600
1994-04-05,3.362600
1994-04-06,3.363000
1994-04-07,3.361500
1994-04-08,3.363000
1994-04-11,3.364200
1994-04-12,3.365400
1994-04-13,3.365700
1994-04-14,3.366000
1994-04-15,3.366600
1994-04-18,3.367000
1994-04-19,3.368200
1994-04-20,3.368600
1994-04-21,3.369000
1994-04-22,3.369400
1994-04-25,3.367900
1994-04-26,3.307300
1994-04-27,3.298000
1994-04-28,3.267300
1994-04-29,3.276300
1994-05-02,3.274800
1994-05-03,3.274800
1994-05-04,3.314500
1994-05-06,3.305300
1994-05-09,3.322300
1994-05-10,3.339600
1994-05-11,3.316300
1994-05-12,3.317300
1994-05-13,3.332500
1994-05-16,3.329800
1994-05-17,3.331900
1994-05-18,3.329000
1994-05-19,3.330900
1994-05-20,3.322000
1994-05-23,3.302000
1994-05-24,3.302500
1994-05-25,3.291900
1994-05-26,3.309300
1994-05-27,3.314800
1994-05-30,3.314500
1994-05-31,3.327600
1994-06-01,3.321400
1994-06-02,3.326900
1994-06-03,3.325300
1994-06-06,3.324300
1994-06-07,3.335000
1994-06-08,3.365000
1994-06-09,3.353500
1994-06-10,3.358800
1994-06-13,3.361300
1994-06-14,3.378400
1994-06-15,3.373400
1994-06-16,3.367300
1994-06-17,3.367500
1994-06-20,3.367500
1994-06-21,3.370300
1994-06-22,3.374300
1994-06-23,3.379000
1994-06-24,3.385500
1994-06-27,3.390300
1994-06-28,3.391800
1994-06-29,3.391800
1994-06-30,3.386500
1994-07-01,3.393800
1994-07-04,3.394500
1994-07-05,3.399000
1994-07-06,3.399400
1994-07-07,3.399800
1994-07-08,3.400200
1994-07-11,3.400600
1994-07-12,3.401800
1994-07-13,3.402200
1994-07-14,3.402600
1994-07-15,3.402500
1994-07-18,3.402000
1994-07-19,3.399800
1994-07-20,3.401100
1994-07-21,3.405200
1994-07-22,3.405600
1994-07-25,3.406000
1994-07-26,3.407200
1994-07-27,3.407800
1994-07-28,3.401900
1994-07-29,3.400600
1994-08-01,3.400600
1994-08-02,3.398900
1994-08-03,3.378900
1994-08-04,3.375300
1994-08-05,3.378100
1994-08-08,3.382900
1994-08-09,3.387000
1994-08-10,3.388200
1994-08-11,3.403000
1994-08-12,3.398000
1994-08-15,3.399600
1994-08-16,3.404800
1994-08-17,3.407800
1994-08-18,3.384500
1994-08-19,3.376900
1994-08-22,3.359300
1994-08-23,3.335800
1994-08-24,3.342800
1994-08-25,3.355500
1994-08-26,3.367100
1994-08-29,3.382600
1994-08-30,3.379400
1994-08-31,3.381500
1994-09-01,3.390300
1994-09-02,3.390800
1994-09-05,3.377800
1994-09-06,3.389600
1994-09-07,3.404000
1994-09-08,3.398300
1994-09-09,3.401400
1994-09-12,3.412300
1994-09-13,3.413400
1994-09-14,3.419900
1994-09-15,3.416800
1994-09-19,3.414500
1994-09-20,3.407800
1994-09-21,3.406800
1994-09-22,3.403000
1994-09-23,3.408800
1994-09-26,3.390500
1994-09-27,3.373300
1994-09-28,3.390800
1994-09-29,3.404000
1994-09-30,3.398000
1994-10-03,3.398300
1994-10-04,3.398400
1994-10-05,3.414300
1994-10-06,3.412800
1994-10-07,3.415900
1994-10-10,3.417500
1994-10-11,3.416000
1994-10-12,3.419900
1994-10-13,3.417000
1994-10-14,3.413600
1994-10-17,3.417900
1994-10-18,3.421500
1994-10-19,3.421600
1994-10-20,3.410600
1994-10-21,3.417300
1994-10-24,3.417500
1994-10-25,3.419900
1994-10-26,3.428600
1994-10-27,3.425600
1994-10-28,3.430000
1994-10-31,3.436000
1994-11-03,3.438100
1994-11-04,3.435000
1994-11-07,3.429600
1994-11-08,3.427300
1994-11-09,3.424100
1994-11-10,3.428500
1994-11-11,3.442400
1994-11-14,3.443500
1994-11-15,3.451300
1994-11-16,3.452600
1994-11-17,3.453000
1994-11-18,3.453400
1994-11-21,3.453800
1994-11-22,3.445500
1994-11-23,3.447300
1994-11-24,3.443900
1994-11-25,3.448000
1994-11-28,3.448100
1994-11-29,3.449800
1994-11-30,3.441000
1994-12-02,3.438600
1994-12-05,3.437900
1994-12-06,3.441800
1994-12-07,3.446900
1994-12-08,3.451900
1994-12-09,3.451100
1994-12-13,3.453400
1994-12-14,3.458500
1994-12-15,3.454300
1994-12-16,3.460600
1994-12-19,3.463500
1994-12-20,3.466200
1994-12-21,3.941300
1994-12-22,3.997000
1994-12-23,4.887500
1994-12-26,4.737500
1994-12-27,5.100000
1994-12-28,5.762500
1994-12-29,5.325000
1994-12-30,4.940000
1995-01-02,4.995000
1995-01-03,5.270000
1995-01-04,5.500000
1995-01-05,5.530000
1995-01-06,5.390000
1995-01-09,5.595000
1995-01-10,5.395000
1995-01-11,5.780000
1995-01-12,5.757500
1995-01-13,5.687500
1995-01-16,5.395000
1995-01-17,5.490000
1995-01-18,5.307500
1995-01-19,5.282500
1995-01-20,5.607500
1995-01-23,5.705000
1995-01-24,5.772500
1995-01-25,5.807500
1995-01-26,5.700000
1995-01-27,5.690000
1995-01-30,5.695000
1995-01-31,6.500000
1995-02-01,5.900000
1995-02-02,5.512500
1995-02-03,5.455000
1995-02-06,5.377500
1995-02-07,5.365000
1995-02-08,5.362500
1995-02-09,5.362500
1995-02-10,5.590000
1995-02-13,5.637500
1995-02-14,5.615000
1995-02-15,5.767500
1995-02-16,5.992500
1995-02-17,6.100000
1995-02-20,5.715000
1995-02-21,5.522500
1995-02-22,5.470000
1995-02-23,5.950000
1995-02-24,5.675000
1995-02-27,5.837500
1995-02-28,6.077500
1995-03-01,6.005000
1995-03-02,5.977500
1995-03-03,5.962500
1995-03-06,6.072500
1995-03-07,6.635000
1995-03-08,6.875000
1995-03-09,6.822500
1995-03-10,7.587500
1995-03-13,6.467500
1995-03-14,6.470000
1995-03-15,6.570000
1995-03-16,6.972500
1995-03-17,7.207500
1995-03-20,7.082500
1995-03-22,7.087500
1995-03-23,7.280000
1995-03-24,7.042500
1995-03-27,6.875000
1995-03-28,6.727500
1995-03-29,6.827500
1995-03-30,6.817500
1995-03-31,6.780000
1995-04-03,6.847500
1995-04-04,6.802500
1995-04-05,6.588300
1995-04-06,6.485000
1995-04-07,6.380800
1995-04-10,6.293300
1995-04-11,6.291700
1995-04-12,6.303300
1995-04-17,6.286700
1995-04-18,6.273300
1995-04-19,6.245000
1995-04-20,6.139200
1995-04-21,6.048300
1995-04-24,6.019200
1995-04-25,5.935000
1995-04-26,5.888300
1995-04-27,5.785000
1995-04-28,5.898300
1995-05-02,6.051700
1995-05-03,5.956700
1995-05-04,5.869200
1995-05-08,5.875800
1995-05-09,5.841700
1995-05-10,5.888300
1995-05-11,5.957500
1995-05-12,5.908300
1995-05-15,5.940800
1995-05-16,5.974200
1995-05-17,5.949200
1995-05-18,5.927500
1995-05-19,5.920000
1995-05-22,5.917500
1995-05-23,5.919200
1995-05-24,5.995000
1995-05-25,6.035000
1995-05-26,6.055000
1995-05-29,6.158300
1995-05-30,6.177500
1995-05-31,6.260000
1995-06-01,6.180800
1995-06-02,6.216700
1995-06-05,6.201700
1995-06-06,6.140800
1995-06-07,6.110800
1995-06-08,6.161700
1995-06-09,6.231700
1995-06-12,6.282500
1995-06-13,6.279200
1995-06-14,6.180800
1995-06-15,6.227500
1995-06-16,6.186700
1995-06-19,6.180800
1995-06-20,6.200800
1995-06-21,6.251700
1995-06-22,6.286700
1995-06-23,6.242500
1995-06-26,6.250000
1995-06-27,6.255000
1995-06-28,6.271700
1995-06-29,6.309200
1995-06-30,6.262100
1995-07-03,6.260800
